ForkVA,ForkW,Type,Sector,ServiceID
0.865936,0.143763,Bank,1,671004572
0.129804,0.08893,Bank,1,671004572
0.061801,0.552047,Bank,1,671004572
0.099116,0.848172,Bank,1,671004572
0.205704,0.624722,Bank,1,671004572
0.164029,0.038168,Bank,1,671004572
0.619834,0.079611,Bank,1,671004572
0.011324,0.718472,Bank,1,671004572
0.344461,0.271178,Bank,1,671004572
0.679169,0.191223,Bank,1,671004572
0.191592,0.381792,Bank,1,671004572
0.940152,0.981297,Bank,1,671004572
0.543696,0.210495,Bank,1,671004572
0.074785,0.407648,Bank,1,671004572
0.667057,0.441408,Bank,1,671004572
0.860208,0.671408,Bank,1,671004572
0.177475,0.93111,Bank,1,671004572
0.107628,0.309156,Bank,1,671004572
0.695464,0.992786,Bank,1,671004572
0.622046,0.063885,Bank,1,671004572
0.658742,0.874708,Bank,1,671004572
0.029141,0.711535,Bank,1,671004572
0.721738,0.631548,Bank,1,671004572
0.516696,0.147568,Bank,1,671004572
0.164996,0.369274,Bank,1,671004572
0.171748,0.085911,Bank,1,671004572
0.261766,0.407849,Bank,1,671004572
0.259692,0.051687,Bank,1,671004572
0.604756,0.250681,Bank,1,671004572
0.487839,0.959527,Bank,1,671004572
0.982901,0.375734,Bank,1,671004572
0.023492,0.460829,Bank,1,671004572
0.51621,0.770477,Bank,1,671004572
0.795362,0.4162,Bank,1,671004572
0.406115,0.821262,Bank,1,671004572
0.397217,0.303417,Bank,1,671004572
0.839467,0.637518,Bank,1,671004572
0.733925,0.106592,Bank,1,671004572
0.296192,0.142064,Bank,1,671004572
0.402594,0.248824,Bank,1,671004572
0.753804,0.291111,Bank,1,671004572
0.685313,0.428476,Bank,1,671004572
0.056389,0.600984,Bank,1,671004572
0.945022,0.798318,Bank,1,671004572
0.021327,0.753316,Bank,1,671004572
0.162331,0.787131,Bank,1,671004572
0.693945,0.426459,Bank,1,671004572
0.328666,0.004957,Bank,1,671004572
0.528445,0.658067,Bank,1,671004572
0.419871,0.096041,Bank,1,671004572
0.172873,0.982296,Bank,1,671004572
0.714479,0.107621,Bank,1,671004572
0.966566,0.304773,Bank,1,671004572
0.292117,0.928043,Bank,1,671004572
0.22041,0.979503,Bank,1,671004572
0.650067,0.614319,Bank,1,671004572
0.84342,0.834044,Bank,1,671004572
0.509794,0.977075,Bank,1,671004572
0.903564,0.952833,Bank,1,671004572
0.05029,0.619925,Bank,1,671004572
0.266416,0.873207,Bank,1,671004572
0.001359,0.740702,Bank,1,671004572
0.542135,0.474685,Bank,1,671004572
0.257529,0.39352,Bank,1,671004572
0.189437,0.249269,Bank,1,671004572
0.932052,0.583553,Bank,1,671004572
0.774634,0.829036,Bank,1,671004572
0.060493,0.520469,Bank,1,671004572
0.064483,0.616976,Bank,1,671004572
0.484703,0.591836,Bank,1,671004572
0.843503,0.118048,Bank,1,671004572
0.800502,0.134413,Bank,1,671004572
0.089569,0.099628,Bank,1,671004572
0.636206,0.879087,Bank,1,671004572
0.416039,0.024005,Bank,1,671004572
0.944133,0.024318,Bank,1,671004572
0.494277,0.290311,Bank,1,671004572
0.433568,0.253312,Bank,1,671004572
0.507427,0.699247,Bank,1,671004572
0.751144,0.651739,Bank,1,671004572
0.554373,0.211192,Bank,1,671004572
